time,rx_axis_tdata,rx_axis_tkeep,rx_axis_tlast,rx_axis_tuser,rx_axis_tvalid,rx_clk,rx_ptp_time,rx_rst,tx_axis_tdata,tx_axis_tkeep,tx_axis_tlast,tx_axis_tready,tx_axis_tuser,tx_axis_tvalid,tx_clk,tx_ptp_time,tx_ptp_ts,tx_ptp_ts_tag,tx_ptp_ts_valid,tx_rst
34258305,1084818905618843912,255,0,4489633464,1,1,2245152276,0,12478777732007352664,255,0,1,0,0,1,2245152276,2242635694,0,0,0
34259585,1084818905618843912,255,0,4489633464,1,0,2245152276,0,12478777732007352664,255,0,1,0,0,0,2245152276,2242635694,0,0,0
34260865,1663540288323457296,255,0,4489633464,1,1,2245320048,0,12478777732007352664,255,0,1,0,0,1,2245320048,2242635694,0,0,0
34262145,1663540288323457296,255,0,4489633464,1,0,2245320048,0,12478777732007352664,255,0,1,0,0,0,2245320048,2242635694,0,0,0
34263425,2242261671028070680,255,0,4489633464,1,1,2245487820,0,12478777732007352664,255,0,1,0,0,1,2245487820,2242635694,0,0,0
34264705,2242261671028070680,255,0,4489633464,1,0,2245487820,0,12478777732007352664,255,0,1,0,0,0,2245487820,2242635694,0,0,0
34265985,2820983053732684064,255,0,4489633464,1,1,2245655592,0,12478777732007352664,255,0,1,0,0,1,2245655592,2242635694,0,0,0
34267265,2820983053732684064,255,0,4489633464,1,0,2245655592,0,12478777732007352664,255,0,1,0,0,0,2245655592,2242635694,0,0,0
34268545,3399704436437297448,255,0,4489633464,1,1,2245823365,0,12478777732007352664,255,0,1,0,0,1,2245823365,2242635694,0,0,0
34269825,3399704436437297448,255,0,4489633464,1,0,2245823365,0,12478777732007352664,255,0,1,0,0,0,2245823365,2242635694,0,0,0
34271105,3978425819141910832,255,0,4489633464,1,1,2245991137,0,12478777732007352664,255,0,1,0,0,1,2245991137,2242635694,0,0,0
34272385,3978425819141910832,255,0,4489633464,1,0,2245991137,0,12478777732007352664,255,0,1,0,0,0,2245991137,2242635694,0,0,0
34273665,4557147201846524216,255,0,4489633464,1,1,2246158909,0,12478777732007352664,255,0,1,0,0,1,2246158909,2242635694,0,0,0
34274945,4557147201846524216,255,0,4489633464,1,0,2246158909,0,12478777732007352664,255,0,1,0,0,0,2246158909,2242635694,0,0,0
34276225,5135868584551137600,255,0,4489633464,1,1,2246326681,0,12478777732007352664,255,0,1,0,0,1,2246326681,2242635694,0,0,0
34277505,5135868584551137600,255,0,4489633464,1,0,2246326681,0,12478777732007352664,255,0,1,0,0,0,2246326681,2242635694,0,0,0
34278785,5714589967255750984,255,0,4489633464,1,1,2246494453,0,12478777732007352664,255,0,1,0,0,1,2246494453,2242635694,0,0,0
34280065,5714589967255750984,255,0,4489633464,1,0,2246494453,0,12478777732007352664,255,0,1,0,0,0,2246494453,2242635694,0,0,0
34281345,6293311349960364368,255,0,4489633464,1,1,2246662225,0,12478777732007352664,255,0,1,0,0,1,2246662225,2242635694,0,0,0
34282625,6293311349960364368,255,0,4489633464,1,0,2246662225,0,12478777732007352664,255,0,1,0,0,0,2246662225,2242635694,0,0,0
34283905,12478777732007352664,255,1,4489633464,1,1,2246829998,0,12478777732007352664,255,0,1,0,0,1,2246829998,2242635694,0,0,0
34285185,12478777732007352664,255,1,4489633464,1,0,2246829998,0,12478777732007352664,255,0,1,0,0,0,2246829998,2242635694,0,0,0
34286465,12478777732007352664,255,1,4489633464,0,1,2246997770,0,12478777732007352664,255,0,1,0,0,1,2246997770,2242635694,0,0,0
34287745,12478777732007352664,255,1,4489633464,0,0,2246997770,0,12478777732007352664,255,0,1,0,0,0,2246997770,2242635694,0,0,0
